fecha,CVE_ENT,def_registradas
2020-01-31,02,64
2020-01-31,03,7
2020-01-31,04,19
2020-01-31,05,60
2020-01-31,06,14
2020-01-31,07,62
2020-01-31,08,77
2020-01-31,09,231
2020-01-31,10,29
2020-01-31,11,116
2020-01-31,12,47
2020-01-31,13,31
2020-01-31,14,126
2020-01-31,15,258
2020-01-31,16,70
2020-01-31,17,37
2020-01-31,18,9
2020-01-31,19,86
2020-01-31,20,57
2020-01-31,21,134
2020-01-31,22,39
2020-01-31,23,28
2020-01-31,24,38
2020-01-31,25,36
2020-01-31,26,51
2020-01-31,27,36
2020-01-31,28,48
2020-01-31,29,20
2020-01-31,30,147
2020-01-31,31,33
2020-01-31,32,23
2020-02-01,01,18
2020-02-01,02,62
2020-02-01,03,9
2020-02-01,04,12
2020-02-01,05,60
2020-02-01,06,16
2020-02-01,07,71
2020-02-01,08,75
2020-02-01,09,252
2020-02-01,10,47
2020-02-01,11,113
2020-02-01,12,42
2020-02-01,13,48
2020-02-01,14,140
2020-02-01,15,255
2020-02-01,16,104
2020-02-01,17,55
2020-02-01,18,17
2020-02-01,19,104
2020-02-01,20,61
2020-02-01,21,142
2020-02-01,22,30
2020-02-01,23,24
2020-02-01,24,61
2020-02-01,25,42
2020-02-01,26,64
2020-02-01,27,34
2020-02-01,28,55
2020-02-01,29,19
2020-02-01,30,125
2020-02-01,31,25
2020-02-01,32,31
2020-02-02,01,18
2020-02-02,02,84
2020-02-02,03,13
2020-02-02,04,9
2020-02-02,05,61
2020-02-02,06,12
2020-02-02,07,42
2020-02-02,08,91
2020-02-02,09,225
2020-02-02,10,30
2020-02-02,11,107
2020-02-02,12,57
2020-02-02,13,52
2020-02-02,14,119
2020-02-02,15,272
2020-02-02,16,81
2020-02-02,17,40
2020-02-02,18,20
2020-02-02,19,84
2020-02-02,20,51
2020-02-02,21,120
2020-02-02,22,32
2020-02-02,23,15
2020-02-02,24,58
2020-02-02,25,55
2020-02-02,26,56
2020-02-02,27,45
2020-02-02,28,59
2020-02-02,29,20
2020-02-02,30,126
2020-02-02,31,37
2020-02-02,32,30
2020-02-03,01,17
2020-02-03,02,73
2020-02-03,03,20
2020-02-03,04,14
2020-02-03,05,65
2020-02-03,06,14
2020-02-03,07,67
2020-02-03,08,88
2020-02-03,09,233
2020-02-03,10,25
2020-02-03,11,133
2020-02-03,12,45
2020-02-03,13,54
2020-02-03,14,151
2020-02-03,15,242
2020-02-03,16,80
2020-02-03,17,44
2020-02-03,18,19
2020-02-03,19,96
2020-02-03,20,85
2020-02-03,21,143
2020-02-03,22,31
2020-02-03,23,28
2020-02-03,24,53
2020-02-03,25,44
2020-02-03,26,50
2020-02-03,27,49
2020-02-03,28,68
2020-02-03,29,26
2020-02-03,30,123
2020-02-03,31,30
2020-02-03,32,29
2020-02-04,01,18
2020-02-04,02,78
2020-02-04,03,14
2020-02-04,04,18
2020-02-04,05,43
2020-02-04,06,21
2020-02-04,07,80
2020-02-04,08,87
2020-02-04,09,211
2020-02-04,10,23
2020-02-04,11,135
2020-02-04,12,40
2020-02-04,13,60
2020-02-04,14,134
2020-02-04,15,242
2020-02-04,16,72
2020-02-04,17,45
2020-02-04,18,18
2020-02-04,19,104
2020-02-04,20,82
2020-02-04,21,125
2020-02-04,22,40
2020-02-04,23,23
2020-02-04,24,65
2020-02-04,25,48
2020-02-04,26,67
2020-02-04,27,36
2020-02-04,28,54
2020-02-04,29,22
2020-02-04,30,170
2020-02-04,31,38
2020-02-04,32,39
2020-02-05,01,19
2020-02-05,02,66
2020-02-05,03,16
2020-02-05,04,20
2020-02-05,05,61
2020-02-05,06,13
2020-02-05,07,67
2020-02-05,08,82
2020-02-05,09,217
